lmfdb_index|coeffs|monogenic
1|251,32,-31,-2|-1
1|8,-5,-9,0|1
1|244,32,-35,-1|-1
1|37,2,-16,-2|1
1|261,0,-33,0|-1
1|94,4,-25,-2|-1
1|9,-1,-8,0|1
1|32,10,-13,-1|1
1|251,11,-33,-1|-1
1|-5,20,-11,-1|1
1|16,6,-10,-1|-1
1|245,35,-36,-1|-1
1|3,7,-6,-2|1
1|39,0,-13,0|1
1|103,0,-22,0|-1
1|98,20,-19,-2|1
2|92,12,-21,-2|-1
1|3,12,-11,-2|-1
1|251,21,-33,-1|-1
1|15,0,-9,0|1
2|15,0,-12,0|1
1|46,0,-14,0|1
2|46,0,-22,0|1
1|97,26,-25,-2|-1
1|36,8,-13,-1|1
1|3,-1,-8,-1|1
1|24,-8,-15,0|1
1|5,-11,-11,0|1
1|5,8,-8,-2|-1
1|-4,15,-13,-1|1
1|6,19,-14,-1|1
1|7,2,-12,-2|1
1|36,14,-13,-2|-1
1|97,2,-27,-2|-1
1|256,16,-33,-1|-1
1|1,-3,-9,0|1
